"AphiaID","accid","class","order","family","genus","subgenus","species","subspecies","canonical","taxonomicStatus","taxonRank","type","authorship","source","valid_AphiaID","id"
"452217",4633,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"globosus",NA,"Cancer globosus","unaccepted","Species","synonym","JC Fabricius, 1787","WORMS","441272",507
"452218",4633,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"globus",NA,"Cancer globus","unaccepted","Species","synonym","J.C. Fabricius, 1775","WORMS","441272",508
"452219",2543,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"gonagra",NA,"Cancer gonagra","superseded combination","Species","synonym","JC Fabricius, 1781","WORMS","422068",509
"452220",802,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"gracilis",NA,"Cancer gracilis","unaccepted","Species","synonym","Dana, 1852","WORMS","440387",510
"148484",832,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"granarius",NA,"Cancer granarius","junior subjective synonym","Species","synonym","Herbst, 1783 [in Herbst, 1782-1790]","WORMS","107381",511
"452221",181,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"granulata",NA,"Cancer granulata","unaccepted","Species","synonym","Linnaeus, 1758","WORMS","107268",512
"148482",832,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"granulatus",NA,"Cancer granulatus","junior subjective synonym","Species","synonym","Say, 1817 [in Say, 1817-1818]","WORMS","107381",513
"459346",10382,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"granulatus",NA,"Cancer granulatus","unaccepted","Species","synonym","Audouin, 1826","WORMS","444019",514
"454612",10797,"Malacostraca","Decapoda","Cancridae","Cancer","","granulatus",NA,"Cancer granulatus","unaccepted","Species","synonym","Krauss, 1843","WORMS","881735",515
"452109",10854,"Malacostraca","Decapoda","Cancridae","Cancer","","granulatus",NA,"Cancer granulatus","unaccepted","Species","synonym","De Haan, 1837 [in De Haan, 1833-1850]","WORMS","444144",516
"452222",3058,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"grapsus",NA,"Cancer grapsus","unaccepted","Species","synonym","Linnaeus, 1758","WORMS","422188",517
"452224",808,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"guezei",NA,"Cancer guezei","superseded combination","Species","synonym","Crosnier, 1976","WORMS","440392",518
"452225",5479,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"Hardwickii",NA,"Cancer Hardwickii","superseded combination","Species","synonym","Gray, 1831","WORMS","440495",519
"452226",8274,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hastatus",NA,"Cancer hastatus","unaccepted","Species","synonym","Linnaeus, 1767","WORMS","1474844",520
"452227",184,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hepatica",NA,"Cancer hepatica","unaccepted","Species","synonym","Linnaeus, 1758","WORMS","209501",521
"452228",1795,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"heros",NA,"Cancer heros","superseded combination","Species","synonym","Herbst, 1790 [in Herbst, 1782-1790]","WORMS","422005",522
"882098",5825,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hippeus",NA,"Cancer hippeus","unaccepted","Species","synonym","Olivier, 1804","WORMS","107464",523
"452229",2285,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hircus",NA,"Cancer hircus","junior subjective synonym","Species","synonym","JC Fabricius, 1781","WORMS","107358",524
"452230",7284,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hirtellus",NA,"Cancer hirtellus","unaccepted","Species","synonym","Linnaeus, 1761","WORMS","107418",525
"452231",2266,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hirticornis",NA,"Cancer hirticornis","superseded combination","Species","synonym","Herbst, 1804 [in Herbst, 1799-1804]","WORMS","107355",526
"452232",1684,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hispidus",NA,"Cancer hispidus","unaccepted","Species","synonym","Latreille in Milbert, 1812","WORMS","209477",527
"452233",5567,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"hispidus",NA,"Cancer hispidus","unaccepted","Species","synonym","Herbst, 1790 [in Herbst, 1782-1790]","WORMS","158429",528
"452234",8433,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"holosericeus",NA,"Cancer holosericeus","unaccepted","Species","synonym","JC Fabricius, 1787","WORMS","442849",529
"452235",6587,"Malacostraca","Decapoda","Cancridae","Cancer",NA,"horrida",NA,"Cancer horrida","unaccepted","Species","synonym","Linnaeus, 1758","WORMS","220551",530
